               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.061018,            0.048124,           0.0018845,             0.80662,             0.52173,             0.60373,             0.31175,            0.065447,            0.027514,           0.0038838,            0.001288,            0.001288,            0.001288
                  90,            0.061284,            0.050155,           0.0021241,             0.82138,             0.52151,             0.61006,             0.31633,            0.065839,            0.027434,           0.0038557,            0.001189,            0.001189,            0.001189
                  91,            0.061409,            0.048975,           0.0019031,             0.81543,             0.52488,             0.60736,             0.31508,            0.065887,            0.027479,           0.0038817,             0.00109,             0.00109,             0.00109
                  92,            0.062547,            0.049326,           0.0018591,             0.81145,             0.52559,             0.61034,             0.30955,            0.066102,            0.027457,            0.003934,            0.000991,            0.000991,            0.000991
                  93,            0.061978,            0.051142,           0.0019984,             0.81377,             0.53008,             0.60533,             0.31531,            0.065206,            0.027227,           0.0039514,            0.000892,            0.000892,            0.000892
                  94,            0.060836,            0.048613,           0.0019234,             0.81012,             0.53173,             0.60638,             0.31389,            0.065255,            0.027227,             0.00393,            0.000793,            0.000793,            0.000793
                  95,            0.060724,            0.047111,           0.0019381,             0.83182,             0.52278,             0.60239,             0.31281,            0.065456,            0.027457,           0.0038913,            0.000694,            0.000694,            0.000694
                  96,            0.062176,            0.046491,            0.001725,             0.81456,             0.53034,              0.6069,             0.31414,            0.065442,            0.027417,           0.0039485,            0.000595,            0.000595,            0.000595
                  97,            0.060476,            0.048374,           0.0018934,             0.80334,             0.53517,             0.60936,             0.31231,            0.065269,             0.02734,           0.0039682,            0.000496,            0.000496,            0.000496
                  98,             0.06102,            0.047431,           0.0018524,             0.81072,              0.5265,             0.60371,             0.31165,            0.065171,            0.027286,           0.0039243,            0.000397,            0.000397,            0.000397
                  99,            0.059768,               0.047,           0.0018312,             0.80903,             0.53373,             0.60912,             0.31128,            0.065256,             0.02729,           0.0038953,            0.000298,            0.000298,            0.000298
